title,description,source,publishedAt,url,topic
Evidence from oracle bone inscriptions for research on typhoon-related disasters in the Central Plains and Chengdu Plain of China,"Archeological data with AI- and physics-based modeling explain typhoon-induced disasters in inland China around 3000 yr B.P.Science Advances, 12.10 (3/4/25)Ke Ding, Siyang Li, Aijun Ding, Houyuan Lu, Jianping Zhang, Dazhi Xi, Xin Huang, Sijia Lou, Xiaodong Ta…",Upenn.edu,2026-03-12 05:20:01+00:00,https://languagelog.ldc.upenn.edu/nll/?p=73003,science
SANUWAVE Health (SNWV) Projected to Post Earnings on Thursday,"SANUWAVE Health (OTCMKTS:SNWV – Get Free Report) is expected to be issuing its results before the market opens on Thursday, March 19th. Analysts expect the company to announce earnings of $0.17 per share and revenue of $13.2260 million for the quarter. SANUWA…",Defenseworld.net,2026-03-12 05:19:29+00:00,https://www.defenseworld.net/2026/03/12/sanuwave-health-snwv-projected-to-post-earnings-on-thursday.html,health
"Extramarital affairs, intimacy with AI: What does it say about psychological well-being?",A survey highlighted that Bangalore has the highest number of users seeking extramarital affairs in India,India Today,2026-03-12 05:17:28+00:00,https://www.indiatoday.in/health/story/extramarital-affairs-intimacy-with-ai-what-does-it-say-about-psychological-well-being-2880730-2026-03-12,technology
"People Moves: Iyer to Lead Chubb’s Global Operations, Technology","Chubb Limited appointed Seshadri (Sesh) Iyer executive vice president, Chubb Group, operations, technology and digital transformation, effective April 6. He succeeds Julie Dillman, who is retiring on April 2 after nearly a decade at Chubb. Iyer joins Chubb fr…",Insurance Journal,2026-03-12 05:15:46+00:00,https://www.insurancejournal.com/news/national/2026/03/12/861501.htm,technology
New York Mets get Francisco Lindor health update ahead of Opening Day,Will the Mets star be ready?,Yahoo Entertainment,2026-03-12 05:14:19+00:00,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a6f1a025-3ab2-4912-9805-a697a4addd63,health
NEET 2026 BIOLOGY | Human Health & Diseases | Complete Chapter | Biology for NEET 2026 | NEET Class,NEET 2026 BIOLOGY | Human Health & Diseases | Complete Chapter | Biology for NEET 2026 | NEET Classyoutube.com,YouTube,2026-03-12 05:12:49+00:00,https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DgUYLCQ8U4y4,health
"Atlassian to Cut About 10% of Workforce, Cites Need to Adapt to AI - WSJ","Atlassian to Cut About 10% of Workforce, Cites Need to Adapt to AIWSJ ‘Devastating blow’: Atlassian lays off 1,600 workers ahead of AI pushThe Guardian Atlassian layoffs impact 63 workers in Washington state as CTO steps downGeekWire Atlassian slashes 10% of …",Slashdot.org,2026-03-12 05:12:18+00:00,https://slashdot.org/firehose.pl?op=view&amp;id=180957076,technology
Show HN: Cloud VMs with a Built-In REST API for AI Agents,"Hey HN,If you’re building local AI agents (or using tools like Cursor/Claude Code), giving them a place to safely execute code and manipulate files is a headache. Running untrusted LLM-generated code directly on your machine or local Docker is risky, and mana…",Oblien.com,2026-03-12 05:11:59+00:00,https://oblien.com/docs/runtime-api,technology
Global Market | Anurag Singh on what could decide the market’s next move,"Rising oil prices and West Asian tensions are creating market volatility, with investors watching energy flows and geopolitical strategy. Market expert Anurag Singh believes the US and Israel aim to dismantle Iran's capabilities and secure the Strait of Hormu…",The Times of India,2026-03-12 05:10:30+00:00,https://economictimes.indiatimes.com/markets/us-stocks/news/global-market-anurag-singh-on-what-could-decide-the-markets-next-move/articleshow/129492702.cms,business
Can we use private healthcare to improve health literacy?,No national standards define what evidence-based health education from a private provider should look like.,The Daily Star,2026-03-12 05:07:44+00:00,https://www.thedailystar.net/opinion/views/news/can-we-use-private-healthcare-improve-health-literacy-4126746,health
